Opciones,Total,Occidental,Sur Occidental,Suroriental,Centro,Centro oriental,Norte
Total P.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Buen camino,0.37101587706774536,0.43086417753279105,0.37107050785598694,0.25985635518480127,0.44474691940456795,0.40704306904427406,0.34125364416199555
Mal camino,0.6289841229322545,0.5691358224672075,0.6289294921440132,0.7401436448151977,0.5552530805954312,0.5929569309557259,0.6587463558380041
Total P.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Nada seguro, algo inseguro (1 y 2)",0.3153810728330679,0.3252996836888647,0.33985485483805955,0.40470985686502664,0.3173833691812017,0.20996220954996267,0.2576254631415145
Ni seguro ni inseguro (3),0.2392379521027533,0.25413073307510686,0.26036956429030694,0.2343429214760303,0.19808731725733067,0.2648450530920431,0.21151193776424929
"Algo seguro, muy seguro (4 y 5)",0.4453809750641795,0.42056958323602733,0.3997755808716335,0.36094722165894133,0.4845293135614671,0.5251927373579944,0.5308625990942364
Total P.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lejanía de paraderos/estaciones,0.10158067114638579,0.16242834046235755,0.0765418775969762,0.09967500510665131,0.051787101401252186,0.07206854009442358,0.07873668239910257
Total P.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Muy  insatisfecho, algo insatisfecho (1 y 2)",0.5450366639611549,0.5380887872941448,0.6050840156924832,0.569800342378886,0.5388630450423554,0.5309112401041011,0.4976491011990399
Ni satisfecho ni insatisfecho (3),0.29848634659709483,0.3671042037703274,0.2366103322484996,0.27155602078945695,0.269358923015623,0.3005321839078556,0.28705210769216466
"Algo satisfecho, muy satisfecho (4 y 5)",0.1564769894417506,0.09480700893552661,0.1583056520590173,0.15864363683165553,0.19177803194202114,0.1685565759880434,0.2152987911087955
