Longitud,Latitud,Fecha_Acc,AA_Acc,Hora_Acc,Localidad,Gravedad_Indicador_Tradicional,Con_Embriaguez
-74.07533047383,4.61070475351,2024-01-07,2024,0,LOS MÁRTIRES,Con Heridos,NO
-74.10265145485,4.575718093,2024-01-04,2024,8,RAFAEL URIBE URIBE,Con Heridos,NO
-74.1459262151,4.5687291111,2024-01-06,2024,11,CIUDAD BOLÍVAR,Con Heridos,NO
-74.08756402914,4.56942827972,2024-01-06,2024,16,SAN CRISTÓBAL,Solo Daños,NO
-74.16706202213,4.6408735502,2024-01-04,2024,19,KENNEDY,Con Heridos,NO
-74.14093730633,4.58368822972,2024-01-01,2024,12,TUNJUELITO,Solo Daños,NO
-74.06711754982,4.63650651303,2024-01-06,2024,23,CHAPINERO,Con Heridos,NO
-74.11013795274,4.68688472108,2024-01-05,2024,10,ENGATIVÁ,Con Heridos,NO
-74.13428811018,4.56862216364,2024-01-07,2024,11,TUNJUELITO,Con Heridos,NO
-74.16345445101,4.63507889907,2024-01-07,2024,15,KENNEDY,Con Heridos,NO
-74.10104481165,4.62236391797,2024-01-09,2024,9,PUENTE ARANDA,Con Heridos,NO
-74.11579159682,4.51379613032,2024-01-07,2024,17,USME,Con Heridos,NO
-74.07199917023,4.59975656773,2024-01-09,2024,21,CANDELARIA,Con Heridos,NO
-74.0692820925,4.59921917991,2024-01-08,2024,5,SANTA FE,Con Heridos,NO
-74.08147273247,4.6072719339,2024-01-07,2024,16,LOS MÁRTIRES,Con Heridos,NO
-74.18131259863,4.60852315045,2024-01-06,2024,20,BOSA,Con Heridos,NO
-74.06964150851,4.65644735819,2024-01-04,2024,14,BARRIOS UNIDOS,Con Heridos,NO
-74.12921068852,4.60214138836,2024-01-09,2024,19,PUENTE ARANDA,Con Heridos,NO
-74.07919752732,4.62889091106,2024-01-07,2024,16,TEUSAQUILLO,Con Heridos,NO
-74.08379077676,4.73935486519,2024-01-11,2024,23,SUBA,Con Heridos,NO
-74.17953965847,4.61026094754,2024-01-13,2024,16,BOSA,Con Heridos,NO
-74.09794954245,4.68330872615,2024-01-13,2024,13,ENGATIVÁ,Con Heridos,NO
-74.09940195863,4.62113010351,2024-01-16,2024,5,PUENTE ARANDA,Con Heridos,NO
-74.0886516649,4.72787979686,2024-01-13,2024,20,SUBA,Con Heridos,NO
-74.1373265068,4.59083718823,2024-01-14,2024,15,TUNJUELITO,Con Heridos,NO
-74.10407570784,4.58324708056,2024-01-15,2024,7,ANTONIO NARIÑO,Con Heridos,NO
-74.08776100031,4.75245107373,2024-01-16,2024,19,SUBA,Con Heridos,NO
-74.08939866011,4.52115998575,2024-01-16,2024,5,SAN CRISTÓBAL,Con Heridos,NO
-74.15648070757,4.62456686629,2024-01-16,2024,21,KENNEDY,Con Heridos,NO
-74.13138826758,4.68956877595,2024-01-01,2024,9,FONTIBÓN,Con Heridos,NO
-74.07132325356,4.62329696367,2024-01-01,2024,6,TEUSAQUILLO,Con Heridos,NO
-74.06218362634,4.67714150269,2024-01-09,2024,6,BARRIOS UNIDOS,Con Heridos,NO
-74.12266341631,4.61685919073,2024-01-13,2024,0,PUENTE ARANDA,Con Heridos,NO
-74.17337325995,4.62726439926,2024-01-09,2024,17,KENNEDY,Con Heridos,NO
-74.16570165488,4.6203743426,2024-01-09,2024,14,KENNEDY,Con Heridos,NO
-74.08955957464,4.68177086886,2024-01-10,2024,17,ENGATIVÁ,Con Heridos,NO
-74.10873837575,4.69055733449,2024-01-10,2024,8,ENGATIVÁ,Con Heridos,NO
-74.11809121992,4.51017597437,2024-01-01,2024,23,USME,Con Heridos,NO
-74.0962915919,4.74635076847,2024-01-05,2024,2,SUBA,Con Muertos,NO
-74.08592634788,4.50095998378,2024-01-02,2024,10,USME,Con Heridos,NO
-74.15507689048,4.57155930493,2024-01-04,2024,17,CIUDAD BOLÍVAR,Con Heridos,NO
-74.14546755736,4.69043558417,2024-01-02,2024,7,FONTIBÓN,Con Heridos,NO
-74.07792953436,4.65387023822,2024-01-04,2024,19,BARRIOS UNIDOS,Con Heridos,NO
-74.08276555722,4.73735179999,2024-01-03,2024,20,SUBA,Con Heridos,NO
-74.15450928395,4.57830485459,2024-01-11,2024,8,CIUDAD BOLÍVAR,Solo Daños,NO
-74.19624982064,4.60452219067,2024-01-10,2024,18,BOSA,Con Heridos,NO
-74.17128650133,4.61822267742,2024-01-10,2024,18,KENNEDY,Con Heridos,NO
-74.05262247896,4.71234295929,2024-01-10,2024,23,USAQUÉN,Con Heridos,NO
-74.03378305619,4.69155566514,2024-01-11,2024,13,USAQUÉN,Con Heridos,NO
-74.06538752501,4.64471122722,2024-01-12,2024,3,CHAPINERO,Con Heridos,NO
-74.10328579728,4.67610427035,2024-01-11,2024,12,ENGATIVÁ,Con Heridos,NO
-74.08768606965,4.72309897227,2024-01-13,2024,12,SUBA,Solo Daños,NO
