localidad,zona,area_m2,area_ha
ANTONIO NARIÑO,Suroriental,4875642.078840089,487.56
BARRIOS UNIDOS,Centro oriental,11893917.109330032,1189.39
BOSA,Sur Occidental,23914153.282177437,2391.42
CANDELARIA,Centro,2058593.0624811796,205.86
CHAPINERO,Centro oriental,37978420.292361006,3797.84
CIUDAD BOLÍVAR,Sur Occidental,129898977.44920295,12989.9
ENGATIVÁ,Occidental,35852295.03035103,3585.23
FONTIBÓN,Occidental,33254446.727794882,3325.44
KENNEDY,Occidental,38558961.84034508,3855.9
LOS MÁRTIRES,Centro,6508833.85695905,650.88
PUENTE ARANDA,Centro,17297316.0140844,1729.73
RAFAEL URIBE URIBE,Suroriental,13823030.443850307,1382.3
SAN CRISTÓBAL,Suroriental,49059217.459029585,4905.92
SANTA FE,Centro,45134404.6376657,4513.44
SUBA,Norte,100479968.1911219,10048.0
SUMAPAZ,Suroriental,780349433.3402445,78034.94
TEUSAQUILLO,Centro oriental,14181810.212883089,1418.18
TUNJUELITO,Sur Occidental,9903029.657482345,990.3
USAQUÉN,Norte,65149074.57353033,6514.91
USME,Suroriental,214895099.52726847,21489.51
