Fecha,Localidad,lat,lon,Nubosidad,Humedad,Precipitacion,Zona
2024-01-01,USAQUEN,4.6882,-74.0298,100.0,56.0,0.0,Norte
2024-01-02,USAQUEN,4.6882,-74.0298,100.0,43.0,0.0,Norte
2024-01-03,USAQUEN,4.6882,-74.0298,40.0,49.0,0.0,Norte
2024-01-04,USAQUEN,4.6882,-74.0298,100.0,36.0,0.0,Norte
2024-01-05,USAQUEN,4.6882,-74.0298,40.0,42.0,0.0,Norte
2024-01-06,USAQUEN,4.6882,-74.0298,99.0,30.0,0.0,Norte
2024-01-07,USAQUEN,4.6882,-74.0298,20.0,43.0,0.0,Norte
2024-01-08,USAQUEN,4.6882,-74.0298,20.0,45.0,0.0,Norte
2024-01-09,USAQUEN,4.6882,-74.0298,20.0,40.0,0.0,Norte
2024-01-10,USAQUEN,4.6882,-74.0298,78.0,41.0,0.0,Norte
2024-01-11,USAQUEN,4.6882,-74.0298,23.0,40.0,0.0,Norte
2024-01-12,USAQUEN,4.6882,-74.0298,75.0,49.0,0.0,Norte
2024-01-13,USAQUEN,4.6882,-74.0298,0.0,68.0,0.0,Norte
2024-01-14,USAQUEN,4.6882,-74.0298,40.0,52.0,0.0,Norte
2024-01-15,USAQUEN,4.6882,-74.0298,20.0,33.0,0.0,Norte
2024-01-16,USAQUEN,4.6882,-74.0298,30.0,33.0,0.0,Norte
2024-01-17,USAQUEN,4.6882,-74.0298,20.0,42.0,0.0,Norte
2024-01-18,USAQUEN,4.6882,-74.0298,40.0,46.0,0.0,Norte
2024-01-19,USAQUEN,4.6882,-74.0298,34.0,39.0,0.0,Norte
2024-01-20,USAQUEN,4.6882,-74.0298,40.0,63.0,0.0,Norte
2024-01-21,USAQUEN,4.6882,-74.0298,74.0,55.0,0.0,Norte
2024-01-22,USAQUEN,4.6882,-74.0298,20.0,35.0,0.0,Norte
2024-01-23,USAQUEN,4.6882,-74.0298,55.0,24.0,0.0,Norte
2024-01-24,USAQUEN,4.6882,-74.0298,80.0,30.0,0.0,Norte
2024-01-25,USAQUEN,4.6882,-74.0298,53.0,23.0,0.0,Norte
2024-01-26,USAQUEN,4.6882,-74.0298,41.0,36.0,0.0,Norte
2024-01-27,USAQUEN,4.6882,-74.0298,20.0,46.0,0.0,Norte
2024-01-28,USAQUEN,4.6882,-74.0298,40.0,39.0,0.0,Norte
2024-01-29,USAQUEN,4.6882,-74.0298,76.0,39.0,0.0,Norte
2024-01-30,USAQUEN,4.6882,-74.0298,95.0,33.0,0.0,Norte
2024-01-31,USAQUEN,4.6882,-74.0298,75.0,46.0,0.0,Norte
2024-02-01,USAQUEN,4.6882,-74.0298,87.0,42.0,4.1,Norte
2024-02-02,USAQUEN,4.6882,-74.0298,79.0,46.0,3.42,Norte
2024-02-03,USAQUEN,4.6882,-74.0298,40.0,49.0,0.55,Norte
2024-02-04,USAQUEN,4.6882,-74.0298,100.0,67.0,0.14,Norte
2024-02-05,USAQUEN,4.6882,-74.0298,93.0,76.0,0.72,Norte
2024-02-06,USAQUEN,4.6882,-74.0298,83.0,74.0,0.12,Norte
2024-02-07,USAQUEN,4.6882,-74.0298,91.0,54.0,0.0,Norte
2024-02-08,USAQUEN,4.6882,-74.0298,80.0,48.0,0.0,Norte
2024-02-09,USAQUEN,4.6882,-74.0298,91.0,61.0,0.0,Norte
2024-02-10,USAQUEN,4.6882,-74.0298,77.0,51.0,0.0,Norte
2024-02-11,USAQUEN,4.6882,-74.0298,80.0,46.0,0.0,Norte
2024-02-12,USAQUEN,4.6882,-74.0298,17.0,39.0,0.0,Norte
2024-02-13,USAQUEN,4.6882,-74.0298,47.0,31.0,0.0,Norte
