estación,localidad,zona
(09104) Restrepo,ANTONIO NARIÑO,Suroriental
(09105) Río Fucha,ANTONIO NARIÑO,Suroriental
(09106) Nariño,ANTONIO NARIÑO,Suroriental
(09107) Hortúa,ANTONIO NARIÑO,Suroriental
(10003) Ciudad Jardín,ANTONIO NARIÑO,Suroriental
(1936) L011|Ciudad Jard�UAN B - 1,ANTONIO NARIÑO,Suroriental
(1979) L054|Av. 1� de Mayo C - 1,ANTONIO NARIÑO,Suroriental
(1981) L056|Av. 1� de Mayo B - 2,ANTONIO NARIÑO,Suroriental
(1982) L057|Av. 1� de Mayo A - 1,ANTONIO NARIÑO,Suroriental
(1983) L058|Av. 1� de Mayo A - 2,ANTONIO NARIÑO,Suroriental
(61981),ANTONIO NARIÑO,Suroriental
(61981) L056|Av. 1  de Mayo B - 2 ó 5,ANTONIO NARIÑO,Suroriental
(61981) L056|Av. 1º de Mayo B - 2 ó 5,ANTONIO NARIÑO,Suroriental
(61983),ANTONIO NARIÑO,Suroriental
(61983) L058|Av. 1 de Mayo A - 2 ó 5,ANTONIO NARIÑO,Suroriental
(61983) L058|Av. 1º de Mayo A - 2 ó 5,ANTONIO NARIÑO,Suroriental
(73765),ANTONIO NARIÑO,Suroriental
(73765) BD-011A12|Av. Caracas - CL67A Bis Sur,ANTONIO NARIÑO,Suroriental
(02300) Calle 100 - Marketmedios,BARRIOS UNIDOS,Centro oriental
(03012) SUBA - CALLE 95,BARRIOS UNIDOS,Centro oriental
(03013) RIO NEGRO,BARRIOS UNIDOS,Centro oriental
(03014) SAN MARTIN,BARRIOS UNIDOS,Centro oriental
(04105) Carrera 53,BARRIOS UNIDOS,Centro oriental
(04106) Carrera 47,BARRIOS UNIDOS,Centro oriental
(04107) Escuela Militar,BARRIOS UNIDOS,Centro oriental
(04108) El Polo,BARRIOS UNIDOS,Centro oriental
(04108) Polo –  FINCOMERCIO,BARRIOS UNIDOS,Centro oriental
(07101) CASTELLANA,BARRIOS UNIDOS,Centro oriental
(07102) Calle 75 - Zona M,BARRIOS UNIDOS,Centro oriental
(07103) AV. CHILE,BARRIOS UNIDOS,Centro oriental
(07104) 7 de Agosto,BARRIOS UNIDOS,Centro oriental
(09121) Flores – Areandina,BARRIOS UNIDOS,Centro oriental
(09121) Las Flores,BARRIOS UNIDOS,Centro oriental
(13411) PA13411|Cra. 47 A - 4,BARRIOS UNIDOS,Centro oriental
(13412) PA13412|Cra. 47 A - 2,BARRIOS UNIDOS,Centro oriental
(13569) PA13569|Polo B - 4,BARRIOS UNIDOS,Centro oriental
(13570),BARRIOS UNIDOS,Centro oriental
(13653) PA13653|Polo B -7,BARRIOS UNIDOS,Centro oriental
(1484) D015|Cra. 47 B - 1,BARRIOS UNIDOS,Centro oriental
(1520) 246A01_CE|246A01,BARRIOS UNIDOS,Centro oriental
(1523) D054|Polo C - 2,BARRIOS UNIDOS,Centro oriental
(61523),BARRIOS UNIDOS,Centro oriental
(61523) D054|Polo C - 2 ó 5,BARRIOS UNIDOS,Centro oriental
