fecha,localidad,zona,validaciones_diarias
2024-01-01,ANTONIO NARIÑO,Suroriental,4232
2024-01-02,ANTONIO NARIÑO,Suroriental,16051
2024-01-03,ANTONIO NARIÑO,Suroriental,19523
2024-01-04,ANTONIO NARIÑO,Suroriental,15834
2024-01-05,ANTONIO NARIÑO,Suroriental,15393
2024-01-06,ANTONIO NARIÑO,Suroriental,14273
2024-01-07,ANTONIO NARIÑO,Suroriental,7796
2024-01-08,ANTONIO NARIÑO,Suroriental,7289
2024-01-09,ANTONIO NARIÑO,Suroriental,23875
2024-01-10,ANTONIO NARIÑO,Suroriental,24435
2024-01-11,ANTONIO NARIÑO,Suroriental,23776
2024-01-12,ANTONIO NARIÑO,Suroriental,25088
2024-01-13,ANTONIO NARIÑO,Suroriental,18504
2024-01-14,ANTONIO NARIÑO,Suroriental,8656
2024-01-15,ANTONIO NARIÑO,Suroriental,25801
2024-01-16,ANTONIO NARIÑO,Suroriental,27519
2024-01-17,ANTONIO NARIÑO,Suroriental,28071
2024-01-18,ANTONIO NARIÑO,Suroriental,28812
2024-01-19,ANTONIO NARIÑO,Suroriental,28553
2024-01-20,ANTONIO NARIÑO,Suroriental,21059
2024-01-21,ANTONIO NARIÑO,Suroriental,9739
2024-01-22,ANTONIO NARIÑO,Suroriental,29234
2024-01-23,ANTONIO NARIÑO,Suroriental,29272
2024-01-24,ANTONIO NARIÑO,Suroriental,28457
2024-01-25,ANTONIO NARIÑO,Suroriental,27528
2024-01-26,ANTONIO NARIÑO,Suroriental,27122
2024-01-27,ANTONIO NARIÑO,Suroriental,20536
2024-01-28,ANTONIO NARIÑO,Suroriental,8852
2024-01-29,ANTONIO NARIÑO,Suroriental,28941
2024-01-30,ANTONIO NARIÑO,Suroriental,28550
2024-01-31,ANTONIO NARIÑO,Suroriental,28314
2024-02-01,ANTONIO NARIÑO,Suroriental,33188
2024-02-02,ANTONIO NARIÑO,Suroriental,29476
2024-02-03,ANTONIO NARIÑO,Suroriental,20074
2024-02-04,ANTONIO NARIÑO,Suroriental,8742
2024-02-05,ANTONIO NARIÑO,Suroriental,26954
2024-02-06,ANTONIO NARIÑO,Suroriental,25079
2024-02-07,ANTONIO NARIÑO,Suroriental,26595
2024-02-08,ANTONIO NARIÑO,Suroriental,27797
2024-02-09,ANTONIO NARIÑO,Suroriental,26357
2024-02-10,ANTONIO NARIÑO,Suroriental,19525
2024-02-11,ANTONIO NARIÑO,Suroriental,9022
2024-02-12,ANTONIO NARIÑO,Suroriental,29636
2024-02-13,ANTONIO NARIÑO,Suroriental,29168
2024-02-14,ANTONIO NARIÑO,Suroriental,28779
2024-02-15,ANTONIO NARIÑO,Suroriental,28266
2024-02-16,ANTONIO NARIÑO,Suroriental,30712
2024-02-17,ANTONIO NARIÑO,Suroriental,22980
2024-02-18,ANTONIO NARIÑO,Suroriental,10260
2024-02-19,ANTONIO NARIÑO,Suroriental,30579
2024-02-20,ANTONIO NARIÑO,Suroriental,32397
2024-02-21,ANTONIO NARIÑO,Suroriental,32020
2024-02-22,ANTONIO NARIÑO,Suroriental,30428
2024-02-23,ANTONIO NARIÑO,Suroriental,31155
2024-02-24,ANTONIO NARIÑO,Suroriental,22415
2024-02-25,ANTONIO NARIÑO,Suroriental,9550
2024-02-26,ANTONIO NARIÑO,Suroriental,31427
2024-02-27,ANTONIO NARIÑO,Suroriental,31797
2024-02-28,ANTONIO NARIÑO,Suroriental,30805
2024-02-29,ANTONIO NARIÑO,Suroriental,31562
2024-03-01,ANTONIO NARIÑO,Suroriental,30741
2024-03-02,ANTONIO NARIÑO,Suroriental,22580
2024-03-03,ANTONIO NARIÑO,Suroriental,10297
2024-03-04,ANTONIO NARIÑO,Suroriental,31272
2024-03-05,ANTONIO NARIÑO,Suroriental,32627
2024-03-06,ANTONIO NARIÑO,Suroriental,31784
2024-03-07,ANTONIO NARIÑO,Suroriental,30875
2024-03-08,ANTONIO NARIÑO,Suroriental,30352
2024-03-09,ANTONIO NARIÑO,Suroriental,23065
2024-03-10,ANTONIO NARIÑO,Suroriental,8965
2024-03-11,ANTONIO NARIÑO,Suroriental,29489
2024-03-12,ANTONIO NARIÑO,Suroriental,30059
2024-03-13,ANTONIO NARIÑO,Suroriental,29519
2024-03-14,ANTONIO NARIÑO,Suroriental,29662
2024-03-15,ANTONIO NARIÑO,Suroriental,29803
2024-03-16,ANTONIO NARIÑO,Suroriental,22692
2024-03-17,ANTONIO NARIÑO,Suroriental,9712
2024-03-18,ANTONIO NARIÑO,Suroriental,29376
2024-03-19,ANTONIO NARIÑO,Suroriental,29311
2024-03-20,ANTONIO NARIÑO,Suroriental,30798
2024-03-21,ANTONIO NARIÑO,Suroriental,28382
2024-03-22,ANTONIO NARIÑO,Suroriental,28744
2024-03-23,ANTONIO NARIÑO,Suroriental,19476
2024-03-24,ANTONIO NARIÑO,Suroriental,8727
2024-03-25,ANTONIO NARIÑO,Suroriental,8098
2024-03-26,ANTONIO NARIÑO,Suroriental,23661
2024-03-27,ANTONIO NARIÑO,Suroriental,23349
2024-03-28,ANTONIO NARIÑO,Suroriental,7388
2024-03-29,ANTONIO NARIÑO,Suroriental,5878
2024-03-30,ANTONIO NARIÑO,Suroriental,11941
2024-03-31,ANTONIO NARIÑO,Suroriental,7651
2024-04-01,ANTONIO NARIÑO,Suroriental,31113
2024-04-02,ANTONIO NARIÑO,Suroriental,31692
2024-04-03,ANTONIO NARIÑO,Suroriental,32101
2024-04-04,ANTONIO NARIÑO,Suroriental,32106
2024-04-05,ANTONIO NARIÑO,Suroriental,32323
2024-04-06,ANTONIO NARIÑO,Suroriental,22836
2024-04-07,ANTONIO NARIÑO,Suroriental,9387
2024-04-08,ANTONIO NARIÑO,Suroriental,32361
2024-04-09,ANTONIO NARIÑO,Suroriental,34132
2024-04-10,ANTONIO NARIÑO,Suroriental,32172
2024-04-11,ANTONIO NARIÑO,Suroriental,30751
2024-04-12,ANTONIO NARIÑO,Suroriental,31941
2024-04-13,ANTONIO NARIÑO,Suroriental,23182
2024-04-14,ANTONIO NARIÑO,Suroriental,9253
2024-04-15,ANTONIO NARIÑO,Suroriental,31980
2024-04-16,ANTONIO NARIÑO,Suroriental,32926
2024-04-17,ANTONIO NARIÑO,Suroriental,31832
2024-04-18,ANTONIO NARIÑO,Suroriental,32151
2024-04-19,ANTONIO NARIÑO,Suroriental,30485
2024-04-20,ANTONIO NARIÑO,Suroriental,24102
2024-04-21,ANTONIO NARIÑO,Suroriental,10021
2024-04-22,ANTONIO NARIÑO,Suroriental,28771
2024-04-23,ANTONIO NARIÑO,Suroriental,30935
2024-04-24,ANTONIO NARIÑO,Suroriental,31154
2024-04-25,ANTONIO NARIÑO,Suroriental,31886
2024-04-26,ANTONIO NARIÑO,Suroriental,30396
2024-04-27,ANTONIO NARIÑO,Suroriental,21968
2024-04-28,ANTONIO NARIÑO,Suroriental,8541
2024-04-29,ANTONIO NARIÑO,Suroriental,31668
2024-04-30,ANTONIO NARIÑO,Suroriental,33331
2024-05-01,ANTONIO NARIÑO,Suroriental,10193
2024-05-02,ANTONIO NARIÑO,Suroriental,34417
2024-05-03,ANTONIO NARIÑO,Suroriental,32871
2024-05-04,ANTONIO NARIÑO,Suroriental,21497
2024-05-05,ANTONIO NARIÑO,Suroriental,9442
2024-05-06,ANTONIO NARIÑO,Suroriental,28414
2024-05-07,ANTONIO NARIÑO,Suroriental,29632
2024-05-08,ANTONIO NARIÑO,Suroriental,29087
2024-05-09,ANTONIO NARIÑO,Suroriental,31618
2024-05-10,ANTONIO NARIÑO,Suroriental,33353
2024-05-11,ANTONIO NARIÑO,Suroriental,27594
2024-05-12,ANTONIO NARIÑO,Suroriental,11750
