año,mes,localidad,validaciones_mensuales
2024,1,ANTONIO NARIÑO,651085
2024,1,BARRIOS UNIDOS,2443118
2024,1,BOSA,1274514
2024,1,CANDELARIA,321760
2024,1,CHAPINERO,3815968
2024,1,CIUDAD BOLIVAR,723743
2024,1,ENGATIVA,3161961
2024,1,FONTIBON,2341045
2024,1,KENNEDY,3824922
2024,1,LOS MARTIRES,926239
2024,1,PUENTE ARANDA,2443246
2024,1,RAFAEL URIBE URIBE,1257676
2024,1,SAN CRISTOBAL,1268768
2024,1,SANTA FE,2437564
2024,1,SOACHA,1847059
2024,1,SUBA,4626976
2024,1,TEUSAQUILLO,1993042
2024,1,TUNJUELITO,1375403
2024,1,USAQUEN,3395090
2024,1,USME,852520
2024,2,ANTONIO NARIÑO,746745
2024,2,BARRIOS UNIDOS,2990762
2024,2,BOSA,1561045
2024,2,CANDELARIA,412319
2024,2,CHAPINERO,5018262
2024,2,CIUDAD BOLIVAR,852546
2024,2,ENGATIVA,3835792
2024,2,FONTIBON,2789918
2024,2,KENNEDY,4654141
2024,2,LOS MARTIRES,1148171
2024,2,PUENTE ARANDA,2799534
2024,2,RAFAEL URIBE URIBE,1673388
2024,2,SAN CRISTOBAL,1507857
2024,2,SANTA FE,3082826
2024,2,SOACHA,2181771
2024,2,SUBA,5673307
2024,2,TEUSAQUILLO,2688573
2024,2,TUNJUELITO,1628628
2024,2,USAQUEN,4079147
2024,2,USME,1014475
2024,3,ANTONIO NARIÑO,696274
2024,3,BARRIOS UNIDOS,2612671
2024,3,BOSA,1501052
2024,3,CANDELARIA,390882
2024,3,CHAPINERO,4434935
2024,3,CIUDAD BOLIVAR,786976
2024,3,ENGATIVA,3547696
2024,3,FONTIBON,2662149
2024,3,KENNEDY,4365628
2024,3,LOS MARTIRES,1123167
2024,3,PUENTE ARANDA,2495149
2024,3,RAFAEL URIBE URIBE,1556642
2024,3,SAN CRISTOBAL,1502272
2024,3,SANTA FE,2779423
2024,3,SOACHA,2103069
